subject,site_id,site_name,timepoint,volume_csf,volume_tissue,volume_lesion,adc_rate_mean_tissue,adc_rate_mean_csf,adc_rate_mean_lesion,t2_rate_mean_tissue,t2_rate_mean_csf,t2_rate_mean_lesion,adc_qa_snr,t2_qa_snr
UH1984,MG,MGH,early,8.089875964,399.4886726,52.72763129,6.32E-04,0.001688923,5.27E-04,21.17697281,10.48411847,12.61321371,2.289183336,4.063972958
VH1980,MG,MGH,early,14.05012667,406.1441734,42.06938002,6.96E-04,0.001892906,5.68E-04,22.09210937,9.998639557,14.94614907,3.680576325,6.433512023
VH1981,MG,MGH,early,10.60425126,421.8143003,25.39687803,6.35E-04,0.001657479,5.48E-04,19.08976481,9.371966205,15.03678695,1.959817005,3.181667554
VH1982,MG,MGH,early,8.13712597,411.382174,25.78500307,6.55E-04,0.0017544,5.55E-04,20.39818313,9.851335011,14.58082572,2.274982677,3.697971388
VH1983,MG,MGH,early,9.706501157,439.1584274,14.06025168,6.84E-04,0.0018275,5.71E-04,22.03190869,10.34279178,16.09964322,2.81310959,5.374793889
VH1985,MG,MGH,early,8.670376034,407.5380486,65.06663276,6.83E-04,0.001729768,5.38E-04,20.7342131,10.3390599,11.75242312,2.982677442,4.975742835
AM4920,UT,UTexas,early,3.412125407,340.4734156,77.23350921,9.06E-04,0.002289745,6.67E-04,18.21331284,10.26555866,9.69194311,8.049560982,11.52171561
AM4921,UT,UTexas,early,6.196500739,398.0239224,0,8.95E-04,0.002518082,NA,18.12951251,9.975285992,NA,7.353328617,10.24186119
AM4921,UT,UTexas,late,11.25225134,458.0314296,0,8.61E-04,0.002411887,NA,20.81021935,9.662059131,NA,10.32136245,13.64975952
AM4922,UT,UTexas,early,7.806375931,320.8275382,84.56063508,8.80E-04,0.002546756,6.88E-04,17.71274938,9.348655649,11.95251714,8.69593895,11.71028581
AM4923,UT,UTexas,early,6.37537576,360.2036679,79.19100944,8.52E-04,0.00214351,6.24E-04,21.13753546,10.53749853,11.37518013,12.50965324,17.90964278
AM4925,UT,UTexas,early,8.275500987,373.4404195,93.55163615,8.30E-04,0.002082944,5.27E-04,20.98405588,10.32809457,11.12996744,12.30122801,15.78188769
AM4939,UT,UTexas,early,8.444251007,416.2826746,0,8.38E-04,0.002203692,NA,20.88835148,10.20872324,NA,10.07580116,12.99675683
FR4500,UT,UTexas,early,8.754751044,402.495798,0,8.73E-04,0.002554156,NA,18.78949147,9.788445332,NA,7.610089182,10.81649829
FR4501,UT,UTexas,early,11.11725133,404.1124232,0,9.07E-04,0.002526888,NA,18.33834918,9.513179129,NA,8.622917414,12.47171381
FR4501,UT,UTexas,late,12.52125149,422.6006754,0,8.53E-04,0.002382722,NA,21.23159335,9.401272881,NA,9.521079382,12.86650647
FR4502,UT,UTexas,early,5.53500066,385.944796,0,9.29E-04,0.002559164,NA,17.92797729,9.687992046,NA,8.222223314,11.09874248
FR4502,UT,UTexas,late,11.81587641,519.972812,0,9.79E-04,0.002500501,NA,22.02263698,9.501921616,NA,10.39809892,14.78996004
